TransactionID,Country,PetID,Date,ProcedureCode
2147,Latvia,F8-3593,04/08/2018,ORTHOPEDIC1
2143,Estonia,F9-1705,05/01/2018,GENERAL SURGERIES19
2132,Lithuania,U4-9376,21/05/2019,VACCINATIONS5
2125,Latvia,E6-2760,24/11/2018,VACCINATIONS5
2129,Lithuania,F4-7157,22/06/2019,GROOMING1
2120,Estonia,E5-1762,16/05/2019,GENERAL SURGERIES17
2122,Lithuania,E9-1438,06/05/2018,GENERAL SURGERIES4
2117,Estonia,F4-4004,01/06/2018,VACCINATIONS5
2107,Estonia,F5-9073,14/11/2018,VACCINATIONS5
2102,Estonia,F6-2647,19/07/2018,VACCINATIONS5
2084,Estonia,E0-8997,03/07/2019,VACCINATIONS5
2094,Estonia,E1-5281,26/07/2018,GROOMING3
2075,Latvia,E2-8160,15/02/2019,VACCINATIONS5
2074,Latvia,E3-1074,18/03/2019,VACCINATIONS5
2085,Estonia,E6-5334,05/04/2018,VACCINATIONS5
2093,Lithuania,E7-6146,08/05/2019,GROOMING3
2092,Lithuania,F0-7461,09/02/2019,GROOMING3
2081,Lithuania,F1-9282,03/07/2018,VACCINATIONS5
2083,Estonia,P9-6519,08/01/2018,VACCINATIONS5
2068,Lithuania,E1-6008,15/10/2018,VACCINATIONS5
2069,Latvia,E2-6164,15/02/2018,VACCINATIONS5
2063,Latvia,E7-6697,07/04/2019,VACCINATIONS5
2071,Estonia,F7-4250,25/03/2019,GROOMING3
2050,Estonia,E2-3054,24/04/2018,VACCINATIONS5
2054,Lithuania,E4-8256,21/08/2018,GROOMING1
2047,Estonia,E6-9120,01/03/2018,VACCINATIONS5
2049,Latvia,E8-9774,26/09/2018,VACCINATIONS5
2045,Lithuania,F1-5729,21/05/2019,VACCINATIONS5
2036,Lithuania,E3-3224,12/01/2019,VACCINATIONS5
2033,Lithuania,E9-9490,20/04/2019,VACCINATIONS5
2034,Estonia,F5-7751,02/10/2018,VACCINATIONS5
2038,Lithuania,M2-1131,18/11/2018,ORTHOPEDIC5
2028,Lithuania,E4-5441,27/07/2018,VACCINATIONS5
2025,Lithuania,F7-4070,13/04/2018,VACCINATIONS5
2026,Estonia,F9-2587,28/06/2019,VACCINATIONS5
2021,Estonia,E0-5837,18/02/2019,VACCINATIONS5
2023,Lithuania,F9-1159,06/04/2019,GROOMING3
2019,Latvia,J2-4382,09/07/2019,GENERAL SURGERIES3
2018,Lithuania,E5-7492,04/01/2018,GROOMING3
2017,Estonia,F0-8915,10/11/2018,GROOMING1
2015,Latvia,E8-2051,12/07/2018,VACCINATIONS1
2011,Lithuania,E2-1326,23/11/2018,VACCINATIONS5
2009,Latvia,E1-6359,25/08/2019,GENERAL SURGERIES3
2002,Latvia,E3-6620,12/06/2019,VACCINATIONS5
1992,Estonia,E6-9177,29/08/2019,VACCINATIONS5
2008,Latvia,E8-1619,04/07/2018,GROOMING1
1996,Lithuania,F7-9769,04/07/2018,VACCINATIONS5
2003,Latvia,F8-8421,07/09/2019,VACCINATIONS5
1989,Estonia,E0-5186,07/10/2018,GROOMING3
1988,Lithuania,E1-4940,08/05/2019,ORTHOPEDIC7
1982,Estonia,F8-3712,23/11/2018,VACCINATIONS5
1979,Lithuania,F8-1324,08/07/2019,GROOMING1
1977,Lithuania,E4-2177,06/07/2018,GROOMING1
1976,Lithuania,E4-6905,14/02/2019,VACCINATIONS5
1974,Estonia,E7-9831,03/07/2018,VACCINATIONS5
1971,Lithuania,F3-4519,11/04/2018,VACCINATIONS5
1975,Latvia,F9-9972,17/06/2019,VACCINATIONS5
1968,Latvia,F0-6226,19/10/2018,VACCINATIONS5
1969,Lithuania,F9-6665,23/01/2019,GROOMING1
1961,Lithuania,F3-4958,30/09/2018,GROOMING1
1958,Estonia,F5-6838,24/03/2019,GENERAL SURGERIES3
1955,Lithuania,F5-5330,22/05/2018,VACCINATIONS5
1952,Lithuania,E7-4603,07/04/2018,VACCINATIONS5
1950,Lithuania,E7-5762,08/09/2018,VACCINATIONS5
1953,Estonia,F8-6190,12/02/2019,GROOMING1
1941,Latvia,E7-9864,05/09/2018,VACCINATIONS5
1942,Estonia,K0-8177,27/02/2019,VACCINATIONS5
1928,Latvia,E8-4733,24/01/2019,VACCINATIONS5
1932,Lithuania,F0-6922,14/02/2019,VACCINATIONS5
1937,Estonia,F0-7199,27/05/2018,GROOMING1
1924,Lithuania,F1-8372,14/01/2019,VACCINATIONS5
1939,Estonia,F8-6703,26/07/2018,GENERAL SURGERIES3
1933,Lithuania,Q8-8753,07/07/2019,VACCINATIONS5
1922,Lithuania,F1-1291,25/03/2018,GROOMING1
1920,Lithuania,F1-7855,23/06/2019,VACCINATIONS3
1921,Lithuania,F6-4069,30/03/2018,VACCINATIONS5
1916,Estonia,E3-4578,20/01/2018,VACCINATIONS6
1918,Lithuania,E6-7833,18/09/2018,OFFICE FEES3
1914,Estonia,F2-9271,19/03/2018,VACCINATIONS5
1915,Latvia,T0-5705,13/07/2019,VACCINATIONS5
1897,Lithuania,E3-6591,07/02/2018,VACCINATIONS5
1902,Latvia,E7-7161,02/03/2018,GENERAL SURGERIES6
1900,Lithuania,F2-9481,09/07/2019,VACCINATIONS5
1906,Lithuania,F7-5627,04/08/2018,GROOMING3
1896,Lithuania,F9-2168,11/04/2019,VACCINATIONS5
1894,Latvia,F9-4765,23/03/2019,VACCINATIONS5
1877,Latvia,F6-3583,19/05/2019,VACCINATIONS5
1882,Latvia,F7-6109,15/02/2019,VACCINATIONS5
1874,Lithuania,F3-1296,21/02/2019,VACCINATIONS5
1873,Latvia,E4-8164,05/06/2019,GROOMING3
1860,Lithuania,E3-2969,11/05/2018,VACCINATIONS5
1861,Estonia,E6-6129,04/06/2018,VACCINATIONS5
1859,Estonia,F6-7584,30/09/2018,ORTHOPEDIC1
1862,Latvia,F7-5556,28/09/2018,VACCINATIONS5
1856,Estonia,E2-6509,24/07/2018,GROOMING3
1847,Estonia,E0-6432,19/06/2019,VACCINATIONS5
1844,Latvia,E5-1597,06/06/2019,VACCINATIONS5
1843,Lithuania,J1-6366,22/05/2019,GENERAL SURGERIES17
1838,Latvia,E1-7255,04/08/2018,VACCINATIONS5
1841,Estonia,E4-6818,16/04/2019,GROOMING3
1826,Estonia,F1-3759,21/04/2019,VACCINATIONS5
1828,Lithuania,F3-2489,02/07/2018,VACCINATIONS5
1822,Latvia,U6-4890,30/08/2019,VACCINATIONS5
1820,Estonia,E8-5483,23/11/2018,GROOMING3
1814,Lithuania,E2-7521,14/02/2019,VACCINATIONS5
1812,Lithuania,E7-1178,07/06/2018,VACCINATIONS5
1807,Latvia,F5-8231,04/12/2018,VACCINATIONS5
1802,Latvia,E0-6328,04/03/2019,VACCINATIONS5
1801,Latvia,E3-9205,28/04/2018,VACCINATIONS5
1803,Lithuania,F1-7056,23/09/2019,VACCINATIONS5
1800,Estonia,E6-8207,28/09/2019,GENERAL SURGERIES3
1792,Lithuania,E7-4876,06/10/2018,VACCINATIONS5
1790,Lithuania,E7-8758,27/01/2018,VACCINATIONS5
1798,Latvia,F5-5303,13/03/2018,GROOMING1
1794,Latvia,F6-6812,19/06/2018,VACCINATIONS5
1786,Latvia,G9-0817,04/05/2019,VACCINATIONS5
1778,Latvia,E9-4149,12/07/2018,GENERAL SURGERIES19
1782,Lithuania,F1-6479,11/01/2019,VACCINATIONS5
1777,Lithuania,F2-8407,19/01/2018,GENERAL SURGERIES19
1772,Latvia,E5-2475,13/04/2018,VACCINATIONS6
1775,Estonia,F4-5237,14/05/2018,VACCINATIONS5
1771,Lithuania,E2-6480,26/09/2018,GROOMING1
1767,Estonia,E3-3079,16/08/2018,GROOMING3
1763,Latvia,E6-2909,30/12/2018,VACCINATIONS5
1764,Latvia,F6-7385,25/07/2019,ORTHOPEDIC7
1757,Latvia,E2-1244,10/08/2019,VACCINATIONS5
1759,Lithuania,P2-7342,28/02/2018,VACCINATIONS5
1752,Latvia,F2-5490,05/10/2018,VACCINATIONS5
1754,Latvia,X0-8765,15/05/2019,GENERAL SURGERIES8
1741,Estonia,E0-8136,16/06/2018,GENERAL SURGERIES8
1746,Latvia,E6-3526,20/05/2018,GENERAL SURGERIES16
1743,Estonia,E8-6560,05/04/2018,VACCINATIONS5
1740,Estonia,F7-5220,24/07/2018,ORTHOPEDIC9
1744,Latvia,F8-2249,22/01/2018,VACCINATIONS5
1739,Latvia,F0-1174,13/01/2019,GROOMING1
1732,Estonia,F2-5525,01/02/2018,VACCINATIONS5
1730,Latvia,Q2-3642,06/08/2019,ORTHOPEDIC9
1728,Latvia,E4-5313,27/02/2019,GENERAL SURGERIES3
1727,Estonia,F4-7521,28/08/2019,VACCINATIONS5
1726,Latvia,E5-4073,01/02/2019,VACCINATIONS5
1724,Lithuania,E3-2137,21/06/2019,GENERAL SURGERIES19
1722,Latvia,E9-2823,06/09/2018,ORTHOPEDIC1
1713,Estonia,F3-9741,10/09/2018,VACCINATIONS5
1709,Estonia,E6-1614,01/09/2019,GROOMING3
1701,Latvia,F1-3946,15/03/2019,VACCINATIONS5
1704,Latvia,F5-2718,24/09/2018,VACCINATIONS5
1708,Lithuania,F5-2775,12/09/2019,GROOMING2
1698,Latvia,F3-7262,09/05/2018,GENERAL SURGERIES3
1687,Estonia,F9-5716,29/04/2018,VACCINATIONS5
1679,Lithuania,E2-1206,12/10/2018,VACCINATIONS5
1680,Estonia,F7-6374,15/06/2019,VACCINATIONS5
1662,Lithuania,E0-9256,01/03/2019,VACCINATIONS5
1676,Estonia,E4-4990,27/06/2018,GROOMING3
1657,Lithuania,E5-4647,10/03/2018,VACCINATIONS5
1659,Latvia,E6-1383,08/08/2018,VACCINATIONS5
1666,Estonia,F3-1606,18/07/2019,VACCINATIONS5
1661,Lithuania,F7-7811,08/09/2019,VACCINATIONS5
1656,Latvia,M8-7852,15/03/2019,VACCINATIONS5
1665,Lithuania,N0-9539,05/06/2019,VACCINATIONS5
1649,Lithuania,F1-3954,28/08/2018,VACCINATIONS5
1639,Latvia,E7-9280,13/09/2018,VACCINATIONS5
1647,Lithuania,E7-9507,12/07/2018,GROOMING3
1640,Latvia,F3-2949,20/08/2018,VACCINATIONS5
1637,Estonia,F7-9251,07/02/2018,VACCINATIONS5
1642,Lithuania,K0-8177,07/11/2018,VACCINATIONS5
1635,Latvia,F8-5367,16/08/2018,VACCINATIONS5
1632,Lithuania,F3-7323,15/05/2018,VACCINATIONS5
1626,Estonia,E6-6933,08/07/2019,VACCINATIONS4
1629,Latvia,E8-8645,12/06/2019,VACCINATIONS5
1631,Lithuania,F6-9596,14/06/2019,GROOMING3
1621,Latvia,E9-4320,04/07/2019,VACCINATIONS5
1622,Estonia,F1-2388,15/02/2018,GENERAL SURGERIES13
1616,Latvia,F1-7580,01/04/2019,VACCINATIONS5
1615,Estonia,F5-1929,09/04/2018,VACCINATIONS5
1614,Lithuania,F6-6662,05/07/2018,VACCINATIONS5
1617,Lithuania,O6-3123,05/06/2019,VACCINATIONS5
1611,Estonia,E6-7577,25/05/2019,GROOMING1
1610,Estonia,F8-4755,05/04/2018,VACCINATIONS5
1612,Estonia,F8-8957,13/05/2018,ORTHOPEDIC4
1606,Lithuania,E3-9712,18/04/2019,GENERAL SURGERIES3
1598,Lithuania,F0-9778,04/06/2019,VACCINATIONS5
1602,Estonia,F3-7360,23/08/2019,GROOMING2
1604,Estonia,F7-2944,15/06/2018,GROOMING3
1592,Latvia,F0-3819,22/07/2019,VACCINATIONS5
1581,Lithuania,E4-1841,03/07/2018,VACCINATIONS5
1585,Latvia,E8-9436,08/01/2019,GROOMING3
1578,Latvia,E1-9999,07/08/2018,VACCINATIONS5
1574,Estonia,F6-9380,05/05/2018,VACCINATIONS4
1573,Estonia,E2-3908,20/02/2019,VACCINATIONS5
1571,Latvia,F0-6228,08/07/2018,VACCINATIONS5
1559,Estonia,E4-4654,03/03/2019,VACCINATIONS5
1566,Latvia,E7-3999,23/01/2018,GROOMING3
1570,Latvia,F2-5772,23/12/2018,GENERAL SURGERIES3
1560,Latvia,F5-2863,31/01/2018,VACCINATIONS5
1547,Lithuania,F2-4105,24/01/2018,VACCINATIONS5
1545,Lithuania,E7-6171,17/02/2019,VACCINATIONS5
1546,Lithuania,F3-7090,19/04/2018,VACCINATIONS6
1540,Latvia,F0-1121,19/09/2018,VACCINATIONS5
1536,Estonia,E3-4289,29/11/2018,GENERAL SURGERIES18
1532,Estonia,E3-6030,02/02/2018,VACCINATIONS5
1525,Lithuania,E4-3798,11/06/2018,VACCINATIONS1
1527,Estonia,E7-5573,06/08/2019,VACCINATIONS5
1537,Latvia,F6-5510,09/08/2018,ORTHOPEDIC4
1538,Estonia,F9-4556,12/12/2018,GROOMING3
1516,Latvia,E2-5983,13/01/2018,VACCINATIONS5
1512,Estonia,E2-8406,22/03/2018,VACCINATIONS5
1522,Lithuania,E6-9420,12/01/2018,GENERAL SURGERIES3
1514,Estonia,F4-6388,14/02/2018,VACCINATIONS5
1523,Latvia,F8-2256,05/09/2019,GENERAL SURGERIES3
1521,Lithuania,F8-7251,12/07/2018,GROOMING1
1511,Estonia,F9-9495,13/02/2019,VACCINATIONS5
1507,Latvia,E3-7060,17/02/2018,VACCINATIONS5
1506,Estonia,F9-9096,01/01/2018,VACCINATIONS5
1485,Estonia,E6-7182,09/07/2019,GROOMING2
1505,Lithuania,E7-8559,17/12/2018,GROOMING1
1494,Estonia,F4-3245,29/08/2018,VACCINATIONS5
1502,Lithuania,F4-3259,20/11/2018,GROOMING1
1498,Estonia,F5-4189,30/08/2018,VACCINATIONS5
1504,Latvia,F7-8631,12/09/2018,GROOMING1
1486,Estonia,F8-3927,14/10/2018,VACCINATIONS6
1501,Lithuania,J6-8562,05/09/2018,GENERAL SURGERIES8
1478,Estonia,E2-3876,05/09/2019,VACCINATIONS5
1480,Estonia,E4-5478,01/10/2019,GENERAL SURGERIES13
1475,Latvia,F4-3338,02/08/2019,VACCINATIONS5
1479,Lithuania,F8-8489,14/10/2018,GENERAL SURGERIES7
1471,Estonia,E9-9428,31/12/2018,GROOMING1
1473,Estonia,U8-6473,17/12/2018,GROOMING1
1462,Latvia,E7-3619,14/09/2019,VACCINATIONS5
1465,Latvia,F0-2209,20/12/2018,GENERAL SURGERIES18
1464,Estonia,F3-2944,01/09/2018,VACCINATIONS5
1469,Estonia,F3-5414,30/04/2018,GROOMING1
1459,Latvia,F4-8162,01/04/2018,VACCINATIONS5
1447,Estonia,E1-1725,02/05/2018,GENERAL SURGERIES18
1444,Latvia,E2-3845,25/01/2019,VACCINATIONS5
1446,Lithuania,F6-1280,20/02/2019,VACCINATIONS5
1439,Estonia,F8-9832,29/04/2018,GENERAL SURGERIES14
1434,Estonia,E7-8401,04/07/2019,VACCINATIONS5
1433,Estonia,F0-1964,17/03/2019,VACCINATIONS5
1429,Lithuania,E8-4540,10/03/2019,VACCINATIONS5
1428,Estonia,E6-9634,26/12/2018,GENERAL SURGERIES1
1425,Latvia,E6-6053,11/04/2019,GENERAL SURGERIES8
1421,Estonia,E8-9512,14/02/2019,VACCINATIONS5
1423,Lithuania,F0-6060,19/01/2018,ORTHOPEDIC6
1422,Latvia,F7-7540,05/11/2018,GENERAL SURGERIES4
1415,Latvia,F9-7584,01/05/2019,VACCINATIONS5
1406,Lithuania,F2-9670,25/08/2019,VACCINATIONS5
1399,Estonia,E7-9716,15/08/2018,VACCINATIONS5
1400,Estonia,E8-5184,14/07/2019,VACCINATIONS5
1391,Latvia,E2-9698,03/07/2019,GROOMING3
1392,Estonia,E3-5640,27/02/2019,ORTHOPEDIC8
1390,Lithuania,E5-9337,03/10/2018,VACCINATIONS5
1385,Latvia,F0-5404,28/04/2019,VACCINATIONS5
1388,Latvia,F7-3477,19/07/2018,VACCINATIONS5
1379,Lithuania,E3-4886,16/03/2018,VACCINATIONS5
1382,Latvia,E8-4126,07/03/2019,OFFICE FEES2
1384,Latvia,F0-7046,11/03/2019,GENERAL SURGERIES3
1377,Lithuania,F0-8651,18/07/2018,VACCINATIONS5
1374,Lithuania,F6-7787,15/01/2019,VACCINATIONS2
1380,Estonia,F9-4898,22/12/2018,VACCINATIONS5
1381,Latvia,L0-6660,19/01/2019,ORTHOPEDIC1
1372,Lithuania,F1-8904,15/04/2019,GENERAL SURGERIES3
1369,Latvia,F5-7292,11/03/2019,ORTHOPEDIC7
1371,Latvia,F8-7242,01/02/2018,GROOMING1
1361,Lithuania,E2-5862,07/09/2019,GROOMING3
1359,Latvia,F9-2183,20/02/2019,VACCINATIONS3
1345,Estonia,E1-8501,25/08/2018,VACCINATIONS5
1354,Latvia,E5-4797,21/08/2018,VACCINATIONS5
1349,Latvia,E6-5808,21/02/2018,VACCINATIONS5
1356,Latvia,E7-6791,25/05/2018,VACCINATIONS5
1357,Latvia,F1-7620,18/05/2018,GROOMING1
1355,Lithuania,F5-3967,18/10/2018,VACCINATIONS5
1348,Estonia,G6-6501,15/02/2019,VACCINATIONS5
1347,Lithuania,V7-6771,21/09/2018,VACCINATIONS5
1343,Latvia,E1-4861,07/08/2019,GROOMING1
1340,Estonia,E1-7480,23/03/2019,ORTHOPEDIC2
1342,Estonia,E5-8162,03/10/2018,GROOMING1
1338,Lithuania,E8-2573,05/08/2019,VACCINATIONS5
1335,Estonia,F1-1448,26/07/2018,VACCINATIONS5
1341,Estonia,F8-3612,28/02/2018,GROOMING3
1326,Estonia,E6-8553,08/07/2018,GROOMING3
1327,Estonia,E9-9238,14/04/2019,GROOMING3
1321,Lithuania,F7-7857,25/05/2018,GENERAL SURGERIES18
1320,Estonia,E5-4359,23/03/2018,GROOMING3
1313,Estonia,E3-9311,08/10/2018,VACCINATIONS5
1318,Estonia,F7-6430,24/09/2019,GENERAL SURGERIES3
1312,Lithuania,M0-2904,11/08/2019,VACCINATIONS5
1291,Estonia,E2-2327,22/08/2018,VACCINATIONS5
1300,Latvia,F6-3942,15/01/2018,VACCINATIONS5
1302,Lithuania,F9-6649,15/08/2018,VACCINATIONS5
1286,Latvia,F5-3974,25/03/2019,VACCINATIONS5
1289,Lithuania,F9-4005,11/12/2018,ORTHOPEDIC7
1283,Estonia,E4-1115,22/05/2019,VACCINATIONS5
1277,Estonia,E1-6058,25/02/2018,VACCINATIONS5
1281,Estonia,F1-2589,11/11/2018,GROOMING1
1282,Lithuania,F4-9538,28/01/2019,GROOMING1
1275,Estonia,F6-4607,23/06/2019,VACCINATIONS5
1278,Estonia,F6-9376,16/10/2018,VACCINATIONS5
1268,Latvia,E3-4814,23/01/2019,VACCINATIONS5
1272,Latvia,F5-1488,12/09/2018,GROOMING2
1253,Estonia,E7-3970,14/06/2019,VACCINATIONS5
1265,Estonia,F5-9974,15/07/2018,GROOMING3
1264,Estonia,F6-6951,26/11/2018,GENERAL SURGERIES18
1258,Latvia,F8-3580,22/05/2019,VACCINATIONS5
1247,Latvia,E2-3917,24/04/2018,GROOMING3
1246,Estonia,F6-2293,29/09/2018,GROOMING3
1244,Estonia,F9-5271,05/07/2018,VACCINATIONS5
1240,Latvia,F2-7294,27/09/2019,GROOMING1
1238,Estonia,F8-2402,08/06/2018,GROOMING3
1239,Lithuania,F8-6720,04/01/2018,GROOMING1
1232,Lithuania,E7-3386,18/03/2018,GROOMING1
1222,Estonia,E7-8027,06/04/2018,VACCINATIONS5
1225,Latvia,F5-4551,26/08/2019,VACCINATIONS5
1212,Estonia,E1-2275,18/04/2019,VACCINATIONS5
1221,Estonia,E6-6413,24/01/2019,GROOMING1
1215,Lithuania,U8-6473,18/03/2019,VACCINATIONS5
1209,Latvia,E6-2274,07/01/2019,VACCINATIONS5
1206,Lithuania,F4-3867,27/03/2019,VACCINATIONS5
1204,Lithuania,E6-8982,05/10/2018,VACCINATIONS5
1205,Lithuania,F1-6182,10/02/2019,VACCINATIONS5
1185,Latvia,E7-5558,17/03/2018,VACCINATIONS5
1200,Latvia,E7-7808,07/03/2019,GROOMING3
1192,Lithuania,E8-3958,27/04/2018,VACCINATIONS5
1183,Estonia,E8-8672,27/11/2018,VACCINATIONS5
1203,Latvia,F3-5833,25/09/2018,GENERAL SURGERIES3
1179,Estonia,F7-6955,29/03/2018,GENERAL SURGERIES9
1202,Estonia,F9-8485,17/12/2018,GROOMING3
1199,Lithuania,P0-1725,28/01/2018,GROOMING3
1174,Lithuania,E1-2250,10/01/2018,VACCINATIONS5
1172,Estonia,E2-4797,28/04/2019,VACCINATIONS5
1162,Lithuania,E5-5800,22/11/2018,VACCINATIONS5
1168,Estonia,E7-1326,26/09/2018,VACCINATIONS2
1165,Estonia,F9-5469,18/03/2019,VACCINATIONS5
1158,Latvia,F1-6850,10/09/2019,GENERAL SURGERIES10
1153,Latvia,F1-5749,08/09/2018,VACCINATIONS5
1152,Latvia,F6-8940,09/04/2019,VACCINATIONS5
1151,Lithuania,F7-2770,06/10/2018,VACCINATIONS5
1139,Lithuania,E1-1390,14/06/2018,VACCINATIONS5
1146,Estonia,E5-1619,17/02/2019,GROOMING3
1141,Estonia,E7-9326,22/10/2018,VACCINATIONS5
1148,Estonia,F3-1138,22/02/2019,GROOMING1
1142,Estonia,F5-6021,27/11/2018,VACCINATIONS5
1137,Latvia,F5-4635,11/12/2018,GROOMING3
1125,Estonia,E4-6366,11/07/2018,VACCINATIONS5
1127,Latvia,E5-9204,20/08/2019,GROOMING1
1128,Lithuania,E7-9206,18/06/2018,GROOMING1
1130,Latvia,F7-3470,13/03/2019,GENERAL SURGERIES3
1119,Latvia,F1-9228,10/12/2018,GENERAL SURGERIES5
1116,Estonia,E3-4617,23/05/2018,GENERAL SURGERIES11
1117,Estonia,F8-3242,04/06/2018,GROOMING1
1106,Lithuania,E5-2980,02/09/2019,GROOMING3
1109,Estonia,E5-9312,16/03/2018,GROOMING1
1107,Latvia,F6-4371,20/02/2018,GROOMING3
1104,Estonia,F7-1817,02/10/2018,GENERAL SURGERIES6
1101,Latvia,F8-2527,20/11/2018,VACCINATIONS5
1091,Estonia,E6-2359,24/08/2019,VACCINATIONS5
1087,Latvia,E6-8421,23/01/2018,VACCINATIONS5
1094,Latvia,E9-9341,27/08/2018,VACCINATIONS4
1089,Latvia,F1-1425,24/01/2018,VACCINATIONS5
1088,Latvia,F1-7512,30/03/2018,VACCINATIONS5
1095,Estonia,F8-9816,20/07/2019,VACCINATIONS5
1081,Lithuania,F8-1254,28/01/2019,VACCINATIONS5
1079,Lithuania,E2-5304,14/09/2018,GROOMING3
1080,Lithuania,E4-5302,23/09/2019,GROOMING1
1076,Latvia,F8-4845,05/01/2019,VACCINATIONS5
1072,Latvia,E7-7457,16/05/2018,OFFICE FEES1
1068,Lithuania,E4-6039,29/04/2019,VACCINATIONS5
1063,Latvia,E1-4479,28/07/2019,VACCINATIONS5
1061,Estonia,E7-8191,18/07/2018,GROOMING3
1060,Latvia,F1-8667,27/04/2019,GENERAL SURGERIES2
1058,Lithuania,E7-4333,09/04/2018,GROOMING3
1059,Estonia,F9-5284,17/08/2019,GROOMING1
1054,Estonia,E0-7252,20/08/2018,VACCINATIONS5
1057,Latvia,F5-1252,14/02/2019,GROOMING1
1048,Latvia,E8-5291,02/12/2018,VACCINATIONS5
1045,Estonia,F3-3894,21/06/2019,VACCINATIONS5
1043,Lithuania,E3-2354,08/10/2018,GROOMING1
1040,Estonia,E5-1832,19/07/2019,GROOMING1
1035,Estonia,E9-4587,08/03/2018,VACCINATIONS5
1036,Estonia,F4-3311,02/02/2018,VACCINATIONS5
1033,Lithuania,E6-8781,09/02/2019,VACCINATIONS5
1032,Estonia,E7-9939,19/01/2018,GROOMING1
1026,Latvia,F2-3491,06/03/2018,ORTHOPEDIC3
1024,Latvia,F3-1154,22/11/2018,VACCINATIONS5
1020,Estonia,F9-8058,22/08/2018,VACCINATIONS5
1019,Estonia,J8-7429,30/03/2018,VACCINATIONS5
1016,Latvia,F0-8583,25/09/2019,VACCINATIONS5
1007,Latvia,E2-6260,30/10/2018,VACCINATIONS5
1004,Estonia,E5-4560,02/05/2018,VACCINATIONS5
998,Latvia,E5-8537,07/08/2018,VACCINATIONS5
1002,Lithuania,E7-3466,03/06/2019,VACCINATIONS5
1013,Latvia,E8-8170,27/03/2019,GROOMING3
999,Estonia,F5-9102,10/04/2018,VACCINATIONS5
1005,Lithuania,F5-9656,24/05/2019,VACCINATIONS5
995,Latvia,F0-3289,18/03/2018,GROOMING1
993,Estonia,F1-9847,05/10/2018,GENERAL SURGERIES17
996,Lithuania,F4-4066,16/10/2018,GENERAL SURGERIES3
981,Latvia,E8-5117,26/07/2018,VACCINATIONS5
989,Latvia,F3-2550,05/02/2019,GROOMING1
